,codigo_cvm,cnpj,nome_social,nome_comercial,status,telefone,uf,municipio,logradouro,data_patrimonio_liquido,valor_patrimonio_liquido,data_inicio_situacao,data_registro
39,574,17311705000122,BVL PARTICIPAÇÕES LTDA,BVL,CANCELADA,32877000,MG,BELO HORIZONTE,"AV. AFONSO PENA, 2770/ 11º AND",2011-12-31,915070.47,2012-02-01,1967-09-29
40,1295,35835933000183,CAMBIAL GESTÃO PATRIMONIAL S/A,CAMBIAL GESTÃO PATRIMONIAL S/A,CANCELADA,32963100,RJ,RIO DE JANEIRO,R RODRIGO SILVA 26 14 ANDAR,1997-12-31,6462529.58,1998-02-05,1989-06-28
41,515,15230501000131,CATEDRAL CCTM LTDA,CATEDRAL CCTM LTDA,CANCELADA,33261733,BA,SALVADOR,"RUA MIGUEL CALMON,555",2013-12-31,1155898.5,2015-10-07,1969-12-10
42,3565,7554076000108,CGD INVESTIMENTOS CORRETORA DE VALORES E CAMBIO S.A.,BANIF PRIMUS CORRETORA DE TITULOS E VALORES MOBILIARIOS E CAMBIO S.A.,EM FUNCIONAMENTO NORMAL,30739300,SP,SAO PAULO,"AV. PRESIDENTE JUSCELINO KUBITSCHEK, 1830",2022-12-31,23912291.59,2005-09-01,2005-09-01
43,2054,61870200000190,CITIGROUP GLOBAL MARKETS BRASIL C.C.T.V.M. S.A.,INTRA SA CCV,CANCELADA,30396128,SP,SAO PAULO,"AV. BRIG. FARIA LIMA, 1461",2008-12-31,24787184.02,2010-04-13,1967-06-09
44,965,33709114000164,"CITIGROUP GLOBAL MARKETS BRASIL, CCTVM S/A",CITIBANK,EM FUNCIONAMENTO NORMAL,40095141,SP,SAO PAULO,"AV. PAULISTA, 1111",2022-12-31,852514672.83,1967-07-12,1967-07-12
45,1279,35778562000145,CITY EMPREENDIMENTOS E SERVIÇOS LTDA.,CITY CCVM LTDA,CANCELADA,31536141,RJ,RIO DE JANEIRO,"AV. DAS AMERICAS 500, BLOCO 20",2003-12-31,1820743.03,2004-02-05,1989-08-09
46,3662,15107963000166,CLEAR CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CLEAR CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,CANCELADA,30272245,SP,SAO PAULO,"AV BRIG FARIA LIMA, 3600",2016-12-31,33071605.48,2018-01-23,2012-03-01
47,1627,58225426000123,CLICKTRADE CCTVM S.A.,CLICKTRADE CCTVM S.A.,CANCELADA,31671755,SP,SAO PAULO,RUA JOAQUIM FLORIANO,2005-12-31,1178618.0,2006-10-16,1968-01-15
48,3476,2685483000130,CM CAPITAL MARKETS CCTVM LTDA,CM CAPITAL MARKETS CCTVM LTDA,EM FUNCIONAMENTO NORMAL,38421122,SP,SAO PAULO,R GOMES DE CARVALHO 1195/4 AND,2022-12-31,27549791.3,2001-05-04,2001-05-04
49,302,9512542000118,CODEPE CORRETORA DE VALORES E CÂMBIO S.A.,CODEPE - CORRETORA,EM FUNCIONAMENTO NORMAL,126080999,SP,BARUERI,ALAMEDA MADEIRA 258,2022-12-31,42207344.88,1994-05-05,1985-04-29
50,3352,2947068000108,COFIBENS CCTVM SA,COFIBENS CCTVM SA,CANCELADA,32289338,RS,PORTO ALEGRE,"RUA VASCO ALVES, 331",2000-12-31,604924.97,2001-08-08,1999-03-01
51,3018,336036000140,COINVALORES CCVM LTDA,COINVALORES,EM FUNCIONAMENTO NORMAL,30354141,SP,SAO PAULO,"AVENIDA BRIGADEIRO FARIA LIMA, 1800",2022-12-31,22834569.38,1994-11-18,1994-11-18
52,3050,120177000121,COLHEITA PARTICIPAÇÕES LTDA,SHECK - CORRETORA,CANCELADA,32830234,RJ,RIO DE JANEIRO,P?A PIO X 55 7 ANDAR,1996-12-31,2387084.03,1997-12-10,1994-06-20
